Dataset	Language	System	ExperimentURI	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290016	0.016616717604818847	0.17989589242543502	0.01932233800289835	0.18130374784266698	0.014575741801145237	0.19877270279683848	0.32773373124357313	2022-09-29 10:43:32
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290017	0.01099484014081111	0.17901068134439746	0.010240747394897592	0.17810642693720916	0.011868818323789693	0.20425708328121897	0.33414004078689974	2022-09-29 11:11:44
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290018	0.094151212553495	0.25311727388924754	0.085084997596469	0.2629746964469058	0.105379952370643	0.30591903014627986	0.34451229846538567	2022-09-29 11:57:52
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290019	0.010589714739559204	0.20175330936483357	0.01362629875660024	0.20065306592372137	0.008659883091578264	0.23259738965659588	0.36961679042997475	2022-09-29 13:33:15
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290020	5.782853838369235E-4	0.13901724698991214	0.0026373626373626374	0.13900683923778612	3.247456159341849E-4	0.13976833976833977	0.2449058382478024	2022-09-29 14:06:23
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290021	0.015294594751173165	0.2233200745225798	0.016452698491835973	0.2216277397642346	0.014288807101104134	0.250321970931327	0.39032923790167723	2022-09-29 14:42:29
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290022	0.012009264289594831	0.15812883558606625	0.012729587197672304	0.1577519583054446	0.011366096557696471	0.17473989534925144	0.2936134244567423	2022-09-29 14:54:33
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290023	0.013927655135470412	0.19240775406435617	0.014535396928146885	0.1926579255855113	0.013368694522623945	0.21557293618229226	0.34777321854226123	2022-09-29 15:41:42
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290024	0.04986149584487535	0.2717954951381866	0.034993694829760405	0.28477945051655384	0.086696172871648	0.3185588345614672	0.35653047176142777	2022-09-29 16:05:45
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290025	0.004159021406727829	0.2494170092644463	0.003922473465620674	0.2574042819158423	0.0044259307472012495	0.26827627627627626	0.40867940081534093	2022-09-29 16:41:49
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290026	0.0	0.23333333333333334	0.0	0.23333333333333334	0.0	0.23333333333333334	0.37837837837837834	2022-09-29 17:06:53
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290027	0.003708281829419036	0.263805258031682	0.0030680074995738877	0.2771861257711582	0.004686279614683676	0.2891096096096096	0.43488616254584883	2022-09-29 17:15:54
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290028	4.237737048416146E-4	0.22002583065334597	3.572704537334762E-4	0.22001313374264195	5.20697734964853E-4	0.22699999999999998	0.364150985225664	2022-09-29 17:17:54
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290029	0.0016307513104251601	0.23338076717284698	0.001475548060708263	0.23335728376392006	0.0018224420723769851	0.24699999999999997	0.387622099212318	2022-09-29 17:40:57
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290030	0.10857810003686863	0.23040215295378677	0.12556850483229107	0.23512860327989077	0.09563758389261745	0.29958848305110114	0.3514586154344673	2022-09-29 18:06:01
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290031	0.01216345982857346	0.21877016536700764	0.01773674929986516	0.21848589950916053	0.009255250054124269	0.24165183022062173	0.38175139991880047	2022-09-29 18:17:03
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290032	5.793742757821553E-4	0.13568010453638468	0.0026833631484794273	0.13566965644413415	3.247456159341849E-4	0.13643410852713178	0.23942508140922464	2022-09-29 18:55:04
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290033	0.012408286577470869	0.21614291975709837	0.012368251236825124	0.2145813959942269	0.012448581944143755	0.2454031218778129	0.3831599254426231	2022-09-29 19:57:14
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290034	1.9951451468094302E-4	0.13440537463434996	2.5868759161852203E-4	0.1337402418950716	1.6237280796709244E-4	0.1434108527131783	0.24978080299057237	2022-09-29 19:59:18
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290035	0.011374194093302177	0.18503115172841877	0.011852373408437481	0.18352134843388157	0.010933102403117559	0.20470544745920827	0.33223201407729586	2022-09-29 20:40:28
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290036	0.052732259328401206	0.2556801563946169	0.047315741583257506	0.2574537136003973	0.05954921659465931	0.29542061308118744	0.3305263711260354	2022-09-29 21:19:35
