Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	BertScore F1	BLEURT Score	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	20f254e73e0041d7aa748b2cb5ee4749QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130648	0.932309371	-0.0677132612	26.45	0.26	0.35	0.57	0.53	0	2022-10-13 23:27:31	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	b183534d061e43d694c181f3fcd835ffQALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130649	0.9286571254	-0.1161925477	24.72	0.25	0.35	0.57	0.57	0	2022-10-13 23:27:41	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-libre_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	1348227bdb794024a713914500c28e19QALD10-MT_ru-spacy_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130650	0.9174695575	-0.2881820404	20.5	0.2	0.31	0.52	0.6	0	2022-10-13 23:27:51	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-opus_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	4930d91fd0f44a009f7a31ffad8454f5QALD10-MT_ru-spacy_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130651	0.9315289527	-0.05118816242	24.4	0.24	0.35	0.57	0.55	0	2022-10-13 23:28:01	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	5d6dea85653d4a6e882da4c34c2ade9cQALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130652	0.9369399392	-0.00195915563	27.15	0.27	0.36	0.58	0.52	0	2022-10-13 23:28:11	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	55e26411a525429abae227e4c04a1901QALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130653	0.9318185878	-0.07936882078	25.23	0.25	0.35	0.57	0.56	0	2022-10-13 23:28:21	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-libre_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	620c14a2e9844aed93bc713c468303acQALD10-MT_ru-no_ner-no_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130654	0.9186453629	-0.2808567338	20.91	0.21	0.3	0.51	0.6	0	2022-10-13 23:28:31	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-opus_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	0539df5aa4a34de2924385faa208a15bQALD10-MT_ru-no_ner-no_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130655	0.936861858	0.05217692006	26.14	0.26	0.35	0.57	0.53	0	2022-10-13 23:28:42	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-nllb_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	f57a20262e844161b6e452662d8c1a18QALD10-MT_ru-no_ner-no_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130656	0.9483591426	0.2194550791	33.53	0.34	0.39	0.61	0.46	0	2022-10-13 23:28:52	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-mbart_mt	8e42dd5701474d1c94e8dd399d39d031QALD10-MT_ru-en_gold_file.txt	5876e4e3306b44409e118736964ccee8QALD10-MT_ru-no_ner-no_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130657	0.9370992976	0.01254404955	27.51	0.27	0.36	0.58	0.53	0	2022-10-13 23:29:02	1.2.7
