Dataset	System	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp	ExperimentURI
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	0.0166167176	0.1798958924	0.019322338	0.1813037478	0.0145757418	0.1987727028	0.3277337312	2022-09-29 10:43:32	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290016
QALD9PlusTrain-MT_de-no_ner-no_el-nllb_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.01099484014	0.1790106813	0.01024074739	0.1781064269	0.01186881832	0.2042570833	0.3341400408	2022-09-29 11:11:44	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290017
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.09415121255	0.2531172739	0.0850849976	0.2629746964	0.1053799524	0.3059190301	0.3445122985	2022-09-29 11:57:52	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290018
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.01058971474	0.2017533094	0.01362629876	0.2006530659	0.008659883092	0.2325973897	0.3696167904	2022-09-29 13:33:15	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290019
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	5.78E-04	0.139017247	0.002637362637	0.1390068392	3.25E-04	0.1397683398	0.2449058382	2022-09-29 14:06:23	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290020
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.01529459475	0.2233200745	0.01645269849	0.2216277398	0.0142888071	0.2503219709	0.3903292379	2022-09-29 14:42:29	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290021
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	0.01200926429	0.1581288356	0.0127295872	0.1577519583	0.01136609656	0.1747398953	0.2936134245	2022-09-29 14:54:33	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290022
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-nllb_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.01392765514	0.1924077541	0.01453539693	0.1926579256	0.01336869452	0.2155729362	0.3477732185	2022-09-29 15:41:42	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290023
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.04986149584	0.2717954951	0.03499369483	0.2847794505	0.08669617287	0.3185588346	0.3565304718	2022-09-29 16:05:45	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290024
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.004159021407	0.2494170093	0.003922473466	0.2574042819	0.004425930747	0.2682762763	0.4086794008	2022-09-29 16:41:49	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290025
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	0	0.2333333333	0	0.2333333333	0	0.2333333333	0.3783783784	2022-09-29 17:06:53	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290026
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.003708281829	0.263805258	0.0030680075	0.2771861258	0.004686279615	0.2891096096	0.4348861625	2022-09-29 17:15:54	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290027
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	4.24E-04	0.2200258307	3.57E-04	0.2200131337	5.21E-04	0.227	0.3641509852	2022-09-29 17:17:54	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290028
QALD9Plus-MT_de-davlan_ner-mag_el-mbart_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.00163075131	0.2333807672	0.001475548061	0.2333572838	0.001822442072	0.247	0.3876220992	2022-09-29 17:40:57	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290029
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.1085781	0.230402153	0.1255685048	0.2351286033	0.09563758389	0.2995884831	0.3514586154	2022-09-29 18:06:01	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290030
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.01216345983	0.2187701654	0.0177367493	0.2184858995	0.009255250054	0.2416518302	0.3817513999	2022-09-29 18:17:03	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290031
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	5.79E-04	0.1356801045	0.002683363148	0.1356696564	3.25E-04	0.1364341085	0.2394250814	2022-09-29 18:55:04	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290032
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.01240828658	0.2161429198	0.01236825124	0.214581396	0.01244858194	0.2454031219	0.3831599254	2022-09-29 19:57:14	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290033
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	2.00E-04	0.1344053746	2.59E-04	0.1337402419	1.62E-04	0.1434108527	0.249780803	2022-09-29 19:59:18	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290034
